Reute (Ar);703
Wald (Ar);929
Walzenhausen;2054
Wolfhalden;1888
;
;
Appenzell;6096
Gonten;1474
Schlatt-Haslen;1119
Oberegg;1936
Schwende-Rüte;6108
;
;
Häggenschwil;1426
Muolen;1265
St Gallen;78863
Wittenbach;10142
Eggersriet;2434
Andwil (Sg);2144
Gaiserwald;8714
Gossau (Sg);18633
Waldkirch;3576
;
Berg (Sg);1033
Goldach;9783
Mörschwil;3671
Rorschach;10274
Rorschacherberg;7716
Steinach;3581
Tübach;1602
Untereggen;1035
Thal;7137
;
Au (Sg);8628
Balgach;5210
Berneck;4008
Diepoldsau;6939
Rheineck;3514
St Margrethen;6718
Widnau;10409
Altstätten;12581
Eichberg;1617
Marbach (Sg);2169
Oberriet (Sg);9373
Rebstein;5077
Rüthi (Sg);2633
;
Buchs (Sg);14038
Gams;3728
Grabs;7488
Sennwald;6332
Sevelen;5411
Wartau;5595
;
Bad Ragaz;6872
Flums;5400
Mels;9581
Pfäfers;1624
Quarten;3105
Sargans;6615
Vilters-Wangs;5121
Walenstadt;5926
;
Amden;1901
Benken (Sg);3073
Kaltbrunn;5099
Schänis;4172
Weesen;1898
Schmerikon;4150
Uznach;7038
Rapperswil-Jona;28779
Gommiswald;5718
Eschenbach (Sg);10266
;
Ebnat-Kappel;5323
Wildhaus-Alt St Johann;2601
Nesslau;3890
Lichtensteig;2141
Wattwil;9165
Kirchberg (Sg);9791
Lütisburg;1646
Mosnang;2981
Bütschwil-Ganterschwil;5336
Neckertal;6420
;
Degersheim;4216
Flawil;10632
Jonschwil;3992
Oberuzwil;6743
Uzwil;14570
Niederbüren;1529
Niederhelfenschwil;3290
Oberbüren;4726
Zuzwil (Sg);5033
Wil (Sg);25176
;
;
Vaz/Obervaz;2732
Lantsch/Lenz;518
Schmitten (Gr);205
Albula/Alvra;1354
Surses;2465
Bergün Filisur;898
;
Brusio;1099
Poschiavo;3505
;
Zernez;1592
Samnaun;750
Scuol;4546
Valsot;801
Val Müstair;1430
;
Bonaduz;3565
Domat/Ems;8392
Rhäzüns;1612
Felsberg;2886
Flims;2902
Tamins;1223
Trin;1557
;
Trimmis;3424
Untervaz;2674
Zizers;3691
Fläsch;879
Jenins;964
Maienfeld;3266
Malans;2529
Landquart;9244
;
Bever;618
Celerina/Schlarigna;1415
Madulain;196
Pontresina;2072
La Punt Chamues-Ch;750
Samedan;2901
St Moritz;4997
S-Chanf;713
Sils Im Engadin/Segl;708
Silvaplana;1124
Zuoz;1224
Bregaglia;1591
;
Buseno;91
Castaneda;254
Rossa;168
Santa Maria In Calanca;113
Lostallo;866
Mesocco;1414
Soazza;324
Cama;720
Grono;1580
Roveredo (Gr);2656
San Vittore;961
Calanca;204
;
Chur;39177
Churwalden;2114
Arosa;3159
Tschiertschen-Praden;309
;
Davos;10774
Fideris;626
Furna;203
Jenaz;1164
Klosters;4478
Conters Im Prättigau;224
Küblis;910
Luzein;1689
Grüsch;2176
Schiers;2993
Seewis Im Prättigau;1450
;
Falera;635
Laax;2102
Sagogn;769
Schluein;616
Vals;958
Lumnezia;2075
Ilanz/Glion;5067
Safiental;964
Breil/Brigels;1706
Disentis/Mustér;2104
Medel (Lucmagn);328
Sumvitg;1063
Tujetsch;1199
Trun;1141
Obersaxen Mundaun;1160
;
Fürstenau;353
Rothenbrunnen;304
Scharans;836
Sils Im Domleschg;976
Cazis;2439
Flerden;255
Masein;531
Thusis;3439
Tschappina;146
Urmein;163
Domleschg;2262
Avers;169
Sufers;147
Andeer;923
Rongellen;59
Zillis-Reischen;426
Ferrera;76
Rheinwald;570
Muntogna Da Schons;368
;
;
Aarau;22710
Biberstein;1657
Buchs (Ag);8491
Densbüren;769
Erlinsbach (Ag);4639
Gränichen;8692
Hirschthal;1763
Küttigen;6997
Muhen;4090
Oberentfelden;8946
Suhr;11617
Unterentfelden;4550
;
Baden;23853
Bellikon;1580
Bergdietikon;2997
Birmenstorf (Ag);3066
Ennetbaden;3703
Fislisbach;6140
Freienwil;1100
Gebenstorf;5807
Killwangen;2304
Künten;1956
Mägenwil;2232
Mellingen;6319
Neuenhof;9212
Niederrohrdorf;4695
Oberrohrdorf;4287
Obersiggenthal;8966
Remetschwil;2096
Spreitenbach;12587
Stetten (Ag);2541
Untersiggenthal;7812
Wettingen;21856
Wohlenschwil;1855
Würenlingen;5262
Würenlos;6931
Ehrendingen;4928
;
Arni (Ag);1987
Berikon;5000
Bremgarten (Ag);8871
Büttikon;1170
Dottikon;4257
Eggenwil;1055
Fischbach-Göslikon;1733
Hägglingen;2588
Jonen;2347
Niederwil (Ag);3023
Oberlunkhofen;2207
Oberwil-Lieli;2627
Rudolfstetten-Friedlisberg;4644
Sarmenstorf;3182
Tägerig;1547
Uezwil;554
